identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
T16C3FWarriorDragon_26,26,food:1808971,1,,232415331,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2107379,food:4218,4.2,rage2,108,192431478,1,experience:0,560620353,
T16C3FWarriorDragon_27,27,food:2123821,1,,238225689,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2160063,food:4236,4.2,rage2,108,197242261,1,experience:0,567035232,
T16C3FWarriorDragon_28,28,food:2132846,1,,244181304,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2214065,food:4254,4.2,rage2,109,202173317,1,experience:0,573482438,
T16C3FWarriorDragon_29,29,food:2141871,1,,250285812,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2269416,food:4272,4.2,rage2,109,207227649,1,experience:0,579961970,
T16C3FWarriorDragon_30,30,food:2150896,1,,256542933,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2326151,food:4290,4.2,rage2,110,212408338,1,experience:0,586473827,
T16C3FWarriorDragon_31,31,food:2159920,1,,262956481,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2384305,food:4308,4.2,rage2,110,217718544,1,experience:0,593018010,
T16C3FWarriorDragon_32,32,food:2168945,1,,269530370,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2443913,food:4326,4.2,rage2,111,223161503,1,experience:0,599594519,
T16C3FWarriorDragon_33,33,food:2177970,1,,276268605,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2505011,food:4344,4.2,rage2,111,228740540,1,experience:0,606203354,
T16C3FWarriorDragon_34,34,food:2186995,1,,283175302,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2567636,food:4362,4.2,rage2,112,234459050,1,experience:0,612844514,
T16C3FWarriorDragon_35,35,food:2196019,1,,290254666,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2631827,food:4380,4.2,rage2,112,240320524,1,experience:0,619518000,
T16C3FWarriorDragon_36,36,food:2205044,1,,297511007,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2697622,food:4398,4.2,rage2,113,246328536,1,experience:0,626223813,
T16C3FWarriorDragon_37,37,food:2214069,1,,304948760,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2765063,food:4416,4.2,rage2,113,252486745,1,experience:0,632961950,
T16C3FWarriorDragon_38,38,food:2223093,1,,312572461,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2834189,food:4434,4.2,rage2,114,258798910,1,experience:0,639732414,
T16C3FWarriorDragon_39,39,food:2232118,1,,320386759,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2905044,food:4452,4.2,rage2,114,265268880,1,experience:0,646535204,
T16C3FWarriorDragon_40,40,food:2241143,1,,336606311,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,3052112,food:4488,4.2,rage2,115,0,1.2,experience:0,660237760,!@#iimemliogfmiipfp
