identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
T16C3ESorcererDragon_27,27,food:2123821,1,,184083487,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,9066930,food:4236,4.2,rage3,108,197242261,1,experience:0,567035232,
T16C3ESorcererDragon_28,28,food:2132846,1,,188685553,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,9293603,food:4254,4.2,rage3,109,202173317,1,experience:0,573482438,
T16C3ESorcererDragon_29,29,food:2141871,1,,193402673,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,9525943,food:4272,4.2,rage3,109,207227649,1,experience:0,579961970,
T16C3ESorcererDragon_30,30,food:2150896,1,,198237721,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,9764091,food:4290,4.2,rage3,110,212408338,1,experience:0,586473827,
T16C3ESorcererDragon_31,31,food:2159920,1,,203193644,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,10008193,food:4308,4.2,rage3,110,217718544,1,experience:0,593018010,
T16C3ESorcererDragon_32,32,food:2168945,1,,208273467,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,10258398,food:4326,4.2,rage3,111,223161503,1,experience:0,599594519,
T16C3ESorcererDragon_33,33,food:2177970,1,,213480286,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,10514858,food:4344,4.2,rage3,111,228740540,1,experience:0,606203354,
T16C3ESorcererDragon_34,34,food:2186995,1,,218817279,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,10777729,food:4362,4.2,rage3,112,234459050,1,experience:0,612844514,
T16C3ESorcererDragon_35,35,food:2196019,1,,224287697,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,11047172,food:4380,4.2,rage3,112,240320524,1,experience:0,619518000,
T16C3ESorcererDragon_36,36,food:2205044,1,,229894869,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,11323351,food:4398,4.2,rage3,113,246328536,1,experience:0,626223813,
T16C3ESorcererDragon_37,37,food:2214069,1,,235642224,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,11606435,food:4416,4.2,rage3,113,252486745,1,experience:0,632961950,
T16C3ESorcererDragon_38,38,food:2223093,1,,241533265,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,11896596,food:4434,4.2,rage3,114,258798910,1,experience:0,639732414,
T16C3ESorcererDragon_39,39,food:2232118,1,,247571586,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,12194010,food:4452,4.2,rage3,114,265268880,1,experience:0,646535204,
T16C3ESorcererDragon_40,40,food:2241143,1,,260104877,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,12811332,food:4488,4.2,rage3,115,0,1.2,experience:0,660237760,!@#cibiaihmnpfolijl
